[2025-10-11 20:43:27.051] [info] 默认标定板尺寸为10列7行
[2025-10-11 20:43:27.051] [info] SocketCAN opened.
[2025-10-11 20:43:27.051] [info] [Cboard] Waiting for q...
[2025-10-11 20:43:27.058] [info] [Cboard] Opened.
[2025-10-11 20:43:27.977] [info] Mindvision opened.
[2025-10-11 20:44:16.865] [info] [1] Saved in assets/img_with_q
[2025-10-11 20:44:17.016] [info] [2] Saved in assets/img_with_q
[2025-10-11 20:44:17.184] [info] [3] Saved in assets/img_with_q
[2025-10-11 20:44:17.359] [info] [4] Saved in assets/img_with_q
[2025-10-11 20:44:17.529] [info] [5] Saved in assets/img_with_q
[2025-10-11 20:44:17.701] [info] [6] Saved in assets/img_with_q
[2025-10-11 20:44:17.896] [info] [7] Saved in assets/img_with_q
[2025-10-11 20:44:18.066] [info] [8] Saved in assets/img_with_q
[2025-10-11 20:44:18.236] [info] [9] Saved in assets/img_with_q
[2025-10-11 20:44:18.400] [info] [10] Saved in assets/img_with_q
[2025-10-11 20:44:18.570] [info] [11] Saved in assets/img_with_q
[2025-10-11 20:44:18.766] [info] [12] Saved in assets/img_with_q
[2025-10-11 20:44:18.929] [info] [13] Saved in assets/img_with_q
[2025-10-11 20:44:19.084] [info] [14] Saved in assets/img_with_q
[2025-10-11 20:44:42.613] [info] [15] Saved in assets/img_with_q
[2025-10-11 20:44:48.943] [info] [16] Saved in assets/img_with_q
[2025-10-11 20:44:49.144] [info] [17] Saved in assets/img_with_q
[2025-10-11 20:44:49.309] [info] [18] Saved in assets/img_with_q
[2025-10-11 20:44:49.497] [info] [19] Saved in assets/img_with_q
[2025-10-11 20:44:49.814] [info] [20] Saved in assets/img_with_q
[2025-10-11 20:44:50.218] [info] [21] Saved in assets/img_with_q
[2025-10-11 20:44:50.404] [info] [22] Saved in assets/img_with_q
[2025-10-11 20:44:50.575] [info] [23] Saved in assets/img_with_q
[2025-10-11 20:44:50.765] [info] [24] Saved in assets/img_with_q
[2025-10-11 20:44:50.931] [info] [25] Saved in assets/img_with_q
[2025-10-11 20:44:51.134] [info] [26] Saved in assets/img_with_q
