[2025-10-11 20:42:31.496] [info] [56] yolo: 8.0ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:31.539] [info] [57] yolo: 8.3ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:31.581] [info] [58] yolo: 7.7ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:31.624] [info] [59] yolo: 8.5ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:31.667] [info] [60] yolo: 8.2ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:31.711] [info] [61] yolo: 8.6ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:31.754] [debug] [Target] r=0.042, l=0.000
[2025-10-11 20:42:31.754] [debug] [Tracker] Target diverged!
[2025-10-11 20:42:31.754] [info] [62] yolo: 8.9ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:31.798] [info] [63] yolo: 8.6ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:31.841] [info] [64] yolo: 8.6ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:31.884] [info] [65] yolo: 8.7ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:31.904] [info] [66] yolo: 10.6ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:31.947] [info] [67] yolo: 8.0ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:31.989] [info] [68] yolo: 8.0ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:32.033] [info] [69] yolo: 8.1ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:32.077] [info] [70] yolo: 8.6ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:32.120] [info] [71] yolo: 8.7ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:32.164] [info] [72] yolo: 8.6ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:32.209] [info] [73] yolo: 9.2ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:32.253] [info] [74] yolo: 8.3ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:32.297] [info] [75] yolo: 8.2ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:32.343] [info] [76] yolo: 9.2ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:32.388] [info] [77] yolo: 8.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:32.432] [info] [78] yolo: 8.8ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:32.477] [info] [79] yolo: 8.7ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:32.521] [info] [80] yolo: 8.3ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:32.564] [info] [81] yolo: 8.2ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:32.606] [info] [82] yolo: 7.6ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:32.649] [info] [83] yolo: 7.9ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:32.692] [info] [84] yolo: 8.5ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:32.737] [info] [85] yolo: 9.0ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:32.779] [info] [86] yolo: 8.2ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:32.823] [info] [87] yolo: 8.0ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:32.865] [info] [88] yolo: 8.0ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:32.908] [info] [89] yolo: 7.9ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:32.949] [info] [90] yolo: 7.6ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:32.980] [info] [91] yolo: 8.4ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:33.023] [info] [92] yolo: 8.2ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:33.072] [info] [93] yolo: 11.8ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:33.534] [info] [94] yolo: 8.1ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:33.547] [info] [95] yolo: 7.9ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:33.591] [debug] [Target] r=0.325, l=-0.275
[2025-10-11 20:42:33.591] [debug] [Tracker] Target diverged!
[2025-10-11 20:42:33.591] [info] [96] yolo: 9.0ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:33.635] [info] [97] yolo: 8.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:33.678] [info] [98] yolo: 8.2ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:33.723] [info] [99] yolo: 8.8ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:33.765] [info] [100] yolo: 8.5ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:33.810] [info] [101] yolo: 9.0ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:33.855] [info] [102] yolo: 9.2ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:33.900] [info] [103] yolo: 9.1ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:33.943] [info] [104] yolo: 8.3ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:33.990] [info] [105] yolo: 9.8ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:34.036] [info] [106] yolo: 9.4ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:34.080] [info] [107] yolo: 8.4ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:34.124] [info] [108] yolo: 8.4ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:34.168] [info] [109] yolo: 8.3ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:34.194] [info] [110] yolo: 10.1ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:34.238] [info] [111] yolo: 8.1ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:34.281] [info] [112] yolo: 8.7ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:34.302] [info] [113] yolo: 10.1ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:34.345] [info] [114] yolo: 8.3ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:34.391] [info] [115] yolo: 10.3ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:34.433] [info] [116] yolo: 8.1ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:34.471] [info] [117] yolo: 9.9ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:34.513] [info] [118] yolo: 8.3ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:34.556] [info] [119] yolo: 7.8ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:34.598] [info] [120] yolo: 7.6ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:34.622] [info] [121] yolo: 10.2ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:34.665] [info] [122] yolo: 7.7ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:34.709] [info] [123] yolo: 9.0ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:34.752] [info] [124] yolo: 8.3ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:34.795] [info] [125] yolo: 8.0ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:34.838] [info] [126] yolo: 8.3ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:34.881] [info] [127] yolo: 7.9ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:34.926] [info] [128] yolo: 10.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:34.970] [info] [129] yolo: 8.1ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:35.015] [info] [130] yolo: 8.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:35.059] [info] [131] yolo: 8.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:35.102] [info] [132] yolo: 8.1ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:35.117] [info] [133] yolo: 8.6ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:35.160] [info] [134] yolo: 7.9ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:35.205] [info] [135] yolo: 8.7ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:35.248] [info] [136] yolo: 8.5ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:35.291] [info] [137] yolo: 8.3ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:35.334] [info] [138] yolo: 7.7ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:35.378] [warning] [Tracker] Large dt: 0.167s
[2025-10-11 20:42:35.378] [info] [139] yolo: 8.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:35.421] [info] [140] yolo: 8.2ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:35.465] [info] [141] yolo: 8.9ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:35.508] [info] [142] yolo: 8.2ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:35.552] [info] [143] yolo: 8.3ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:35.595] [info] [144] yolo: 8.0ms, tracker: 0.4ms, aimer: 0.0ms
