[2025-10-11 21:03:46.638] [info] Mindvision opened.
[2025-10-11 21:03:46.638] [info] SocketCAN opened.
[2025-10-11 21:03:46.638] [info] [Cboard] Waiting for q...
[2025-10-11 21:03:46.645] [info] [Cboard] Opened.
[2025-10-11 21:04:17.689] [debug] [Target] r=0.128, l=-0.187
[2025-10-11 21:04:17.689] [debug] [Tracker] Target diverged!
[2025-10-11 21:04:44.724] [debug] [Target] r=0.049, l=0.000
[2025-10-11 21:04:44.724] [debug] [Tracker] Target diverged!
[2025-10-11 21:04:45.794] [debug] [Target] r=0.048, l=0.000
[2025-10-11 21:04:45.794] [debug] [Tracker] Target diverged!
[2025-10-11 21:05:51.757] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:51.858] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:51.958] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:52.058] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:52.158] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:52.258] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:52.359] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:52.459] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:52.559] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:52.659] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:52.759] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:52.860] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:52.960] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:53.060] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:53.160] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:53.260] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:53.361] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:53.461] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:53.561] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:53.661] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:53.761] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:53.862] [warning] SocketCAN::open() failed: Error getting interface index!
